1,자기의 손익을 생각하고 행동하는 편이다 ,A
2,자유롭게 행동하는 사람이라고 생각한다.,FC
3,남의 말을 가로 막고 자기 생각을 말하는 일이 있다.,CP
4,생각하고 있는 바를 말하지 못하는 성질이다.,AC
5,다른 사람을 엄하게 비판하는 편이다.,CP
6,다른 사람에 대해 헤아려 주는 바가 강하다.,NP
7,상대방의 좋은 점을 잘 알아차리는 편이다.,NP
8,대화 중에 감정적으로 되는 일은 적다. ,A
9,호기심이 강한 편이다.,FC
10,시간약속이나 돈 문제를 소홀히 하는 것을 싫어한다.,CP
11,사람들로부터 좋은 인상을 받고 싶어 한다.,AC
12,남의 부탁이라면 거절하지 못하는 편이다.,NP
13,양보심이 많으며 참는 편이다.,AC
14,"사회의 규칙, 윤리, 도덕 등을 중시한다. ",CP
15,사물을 분석적으로 깊게 생각한 다음에 결정한다.,A
16,싫은 일은 핑계를 달아 뒤로 미루는 경향이 있다. ,AC
17,아이들이나 남의 일을 돌보아 주는 것을 좋아한다.,NP
18,자기생각을 주장하기 보다 타협하는 일이 많다.,AC
19,감정보다는 이성적인 편이라고 생각한다.,A
20,예절이나 규범에 까다로운 편이다.,CP
21,남의 의견은 찬반양론을 듣고 참고로 한다.,A
22,놀이나 음식 등을 만족할 때까지 찾는 편이다.,FC
23,책임감을 남에게 강하게 요구한다.,CP
24,타인에 대해 융통성이 있는 편이다.,NP
25,남의 안색이나 말에 신경을 쓰게 된다.,AC
26,괴로울 때는 참는 편이다.,AC
27,"“해야 한다, 하지 않으면 안 된다”와 같은 말을 자주 쓴다. ",CP
28,말하고자 하는 것을 서슴없이 말해 버리는 편이다. ,FC
29,작은 잘못이라도 흐지부지 지나치지 않는 편이다. ,CP
30,남의 기대에 어긋나지 않도록 노력을 많이 한다. ,AC
31,자기 감정을 억누르는 편이다. ,AC
32,원하는 것을 손에 넣지 않으면 못 배기는 편이다. ,FC
33,무슨 일이나 사실에 입각해서 판단한다. ,A
34,"“야, 멋있다, 우와”와 같은 감탄사를 자주 쓴다. ",FC
35,자신이 없고 열등감을 느낄 때가 많다. ,AC
36,여러 가지 책을 많이 읽는 편이다. ,A
37,농담을 잘 하는 편이다. ,FC
38,화내는 일이 많은 편이다. ,FC
39,"좋다, 나쁘다를 분명하게 말한다. ",CP
40,앞으로의 일을 냉정하게 생각하고 행동한다. ,A
41,잘 모르는 것은 질문이나 상의해서 처리한다. ,A
42,아이들이나 부하의 잘못에 대해 관대하다. ,NP
43,상대방의 말에 귀를 기울여 공감하는 편이다. ,NP
44,아이들이나 부하를 엄격히 교육시킨다.,CP
45,흥에 겨우면 도에 지나친 행동을 할 때가 있다. ,FC
46,길을 물으면 친절히 가르쳐 준다.,NP
47,감정이 풍부하고 눈물이 많은 편이다. ,FC
48,친구나 가족들에게 무엇이든 사주는 것을 좋아한다. ,NP
49,몸이 좋지 않을 때는 자중해서 무리를 하지 않는다. ,A
50,동정심이 많다고 생각한다. ,NP
